"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Функциональность калькулятора","0","0","","0"
"1","","0","Функциональность магазина (Sauce Demo)","0","0","","0"
